EE_region,v_nom,x,y
0,380.0,9.052414940444814,51.83063176068418
1,380.0,12.806862077925953,48.47645325044208
2,380.0,13.476998429885406,52.925883096378335
3,380.0,9.830404347453229,49.94583432005277
4,380.0,8.529209625765859,49.86906720567734
5,380.0,6.898304615865411,51.28564138824632
6,380.0,12.240906080527298,51.19955392615273
7,380.0,10.264852248058245,52.256579019228795
8,380.0,9.700238118541142,53.79891788201021
9,380.0,10.991980370643363,49.76885959782934
10,380.0,8.054533093286741,53.100761329471815
11,380.0,11.932902180224584,53.22710387112287
12,380.0,11.408866699481276,48.312409347887595
13,380.0,13.894819008122303,51.54658432862825
14,380.0,7.009360150573633,49.767623753422306
15,380.0,11.104118413368688,50.944084630608465
16,380.0,10.07220758380912,48.23033705219967
17,380.0,8.910978288099889,48.807402715547035
18,380.0,11.89120084651503,49.903170661954405
19,380.0,7.682549687671351,51.634943272914605
