,technology,max_power,min_power,fuel_type,additional_cost,efficiency,start_up_cost,shut_down_cost,EE_region,emission_factor,bidding_EOM,unit_operator
wind_onshore_15,wind_onshore_15,1995,0,renewable,0.015,1.0,0.0,0.0,15,0.0,naive_eom,eom_operator
wind_onshore_16,wind_onshore_16,1056,0,renewable,0.015,1.0,0.0,0.0,16,0.0,naive_eom,eom_operator
wind_onshore_17,wind_onshore_17,1179,0,renewable,0.015,1.0,0.0,0.0,17,0.0,naive_eom,eom_operator
wind_onshore_18,wind_onshore_18,805,0,renewable,0.015,1.0,0.0,0.0,18,0.0,naive_eom,eom_operator
OCGT_12_0,combined cycle gas turbine,9679,0,natural gas,64.19400600624002,0.3568476701473151,0.0,0.0,12,0.198,naive_eom,eom_operator
OCGT_12_1,combined cycle gas turbine,9679,0,natural gas,64.19400600624002,0.369403491975164,0.0,0.0,12,0.198,naive_eom,eom_operator
OCGT_12_2,combined cycle gas turbine,9679,0,natural gas,64.19400600624002,0.4403168125856213,0.0,0.0,12,0.198,naive_eom,eom_operator
OCGT_12_3,combined cycle gas turbine,9679,0,natural gas,64.19400600624002,0.563824914748965,0.0,0.0,12,0.198,naive_eom,eom_operator
OCGT_12_4,combined cycle gas turbine,9679,0,natural gas,64.19400600624002,0.5180413447662772,0.0,0.0,12,0.198,naive_eom,eom_operator
solar_01_0,solar_1,8601,0,renewable,0.01,1.0,0.0,0.0,1,0.0,naive_eom,eom_operator
solar_01_1,solar_1,8601,0,renewable,0.01,1.0,0.0,0.0,1,0.0,naive_eom,eom_operator
solar_01_2,solar_1,8601,0,renewable,0.01,1.0,0.0,0.0,1,0.0,naive_eom,eom_operator
solar_02_0,solar_2,9189,0,renewable,0.01,1.0,0.0,0.0,2,0.0,naive_eom,eom_operator
solar_02_1,solar_2,9189,0,renewable,0.01,1.0,0.0,0.0,2,0.0,naive_eom,eom_operator
solar_02_2,solar_2,9189,0,renewable,0.01,1.0,0.0,0.0,2,0.0,naive_eom,eom_operator
solar_04_0,solar_4,7724,0,renewable,0.01,1.0,0.0,0.0,4,0.0,naive_eom,eom_operator
solar_04_1,solar_4,7724,0,renewable,0.01,1.0,0.0,0.0,4,0.0,naive_eom,eom_operator
solar_04_2,solar_4,7724,0,renewable,0.01,1.0,0.0,0.0,4,0.0,naive_eom,eom_operator
solar_05_0,solar_5,8719,0,renewable,0.01,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
solar_05_1,solar_5,8719,0,renewable,0.01,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
solar_05_2,solar_5,8719,0,renewable,0.01,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
solar_05_3,solar_5,8719,0,renewable,0.01,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
solar_05_4,solar_5,8719,0,renewable,0.01,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
solar_08_0,solar_8,8247,0,renewable,0.01,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
solar_08_1,solar_8,8247,0,renewable,0.01,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
solar_08_2,solar_8,8247,0,renewable,0.01,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
solar_08_3,solar_8,8247,0,renewable,0.01,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
solar_11_0,solar_11,6631,0,renewable,0.01,1.0,0.0,0.0,11,0.0,naive_eom,eom_operator
solar_11_1,solar_11,6631,0,renewable,0.01,1.0,0.0,0.0,11,0.0,naive_eom,eom_operator
solar_12_0,solar_12,8215,0,renewable,0.01,1.0,0.0,0.0,12,0.0,naive_eom,eom_operator
solar_12_1,solar_12,8215,0,renewable,0.01,1.0,0.0,0.0,12,0.0,naive_eom,eom_operator
solar_14_0,solar_14,5795,0,renewable,0.01,1.0,0.0,0.0,14,0.0,naive_eom,eom_operator
solar_14_1,solar_14,5795,0,renewable,0.01,1.0,0.0,0.0,14,0.0,naive_eom,eom_operator
solar_16_0,solar_16,8295,0,renewable,0.01,1.0,0.0,0.0,16,0.0,naive_eom,eom_operator
solar_16_1,solar_16,8295,0,renewable,0.01,1.0,0.0,0.0,16,0.0,naive_eom,eom_operator
solar_16_2,solar_16,8295,0,renewable,0.01,1.0,0.0,0.0,16,0.0,naive_eom,eom_operator
solar_17_0,solar_17,9827,0,renewable,0.01,1.0,0.0,0.0,17,0.0,naive_eom,eom_operator
solar_17_1,solar_17,9827,0,renewable,0.01,1.0,0.0,0.0,17,0.0,naive_eom,eom_operator
solar_17_2,solar_17,9827,0,renewable,0.01,1.0,0.0,0.0,17,0.0,naive_eom,eom_operator
solar_19_0,solar_19,5953,0,renewable,0.01,1.0,0.0,0.0,19,0.0,naive_eom,eom_operator
solar_19_1,solar_19,5953,0,renewable,0.01,1.0,0.0,0.0,19,0.0,naive_eom,eom_operator
wind_onshore_02_0,wind_onshore_2,7410,0,renewable,0.015000000000000001,1.0,0.0,0.0,2,0.0,naive_eom,eom_operator
wind_onshore_02_1,wind_onshore_2,7410,0,renewable,0.015000000000000001,1.0,0.0,0.0,2,0.0,naive_eom,eom_operator
wind_onshore_05_0,wind_onshore_5,6027,0,renewable,0.015,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
wind_onshore_05_1,wind_onshore_5,6027,0,renewable,0.015,1.0,0.0,0.0,5,0.0,naive_eom,eom_operator
wind_onshore_08_0,wind_onshore_8,9874,0,renewable,0.015,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
wind_onshore_08_1,wind_onshore_8,9874,0,renewable,0.015,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
wind_onshore_08_2,wind_onshore_8,9874,0,renewable,0.015,1.0,0.0,0.0,8,0.0,naive_eom,eom_operator
wind_onshore_10_0,wind_onshore_10,7259,0,renewable,0.015,1.0,0.0,0.0,10,0.0,naive_eom,eom_operator
wind_onshore_10_1,wind_onshore_10,7259,0,renewable,0.015,1.0,0.0,0.0,10,0.0,naive_eom,eom_operator
wind_onshore_11_0,wind_onshore_11,9006,0,renewable,0.015,1.0,0.0,0.0,11,0.0,naive_eom,eom_operator
wind_onshore_11_1,wind_onshore_11,9006,0,renewable,0.015,1.0,0.0,0.0,11,0.0,naive_eom,eom_operator
wind_onshore_19_0,wind_onshore_19,8176,0,renewable,0.015,1.0,0.0,0.0,19,0.0,naive_eom,eom_operator
wind_onshore_19_1,wind_onshore_19,8176,0,renewable,0.015,1.0,0.0,0.0,19,0.0,naive_eom,eom_operator
